GalaxyName,Class,NPoints,FinalMeanSignedResidual,AbsFinalMeanSignedResidual,MaxAbsCumulativeMeanResidual,RMSAbsResidual,MeanAbsResidual,PositiveResidualFraction,SignImbalance,MaxSameSignRunFraction,FirstBreakRadiusFraction_abs0p15,CumulativeDriftRadiusPearson,Median_S_tau_eff_clipped,InterpretationGuardrail
CamB,A,9,-0.914034998,0.914034998,1.386657527,0.963585354,0.914034998,0.000000000,1.000000000,1.000000000,0.089385500,0.994051825,0.000000000,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
DDO154,A,12,-0.015609254,0.015609254,0.365666101,0.138812043,0.099867430,0.666666667,0.333333333,0.666666667,0.082770300,0.944496379,1.075937486,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
ESO079-G014,A,15,0.023903266,0.023903266,0.104414536,0.116776750,0.098961166,0.733333333,0.466666667,0.666666667,,0.510412515,1.150995878,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
ESO116-G012,A,15,0.087400328,0.087400328,0.087400328,0.118484000,0.103246330,0.800000000,0.600000000,0.800000000,,0.946882761,1.278820709,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
IC2574,C,34,-0.186301949,0.186301949,0.508875693,0.221285273,0.186301949,0.000000000,1.000000000,1.000000000,0.083089000,0.917757943,0.764630398,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC0055,C,21,-0.188681855,0.188681855,0.395332399,0.204516691,0.188681855,0.000000000,1.000000000,1.000000000,0.091111100,0.948210466,0.719293901,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC1705,C,14,0.350111963,0.350111963,0.457663102,0.354417124,0.350111963,1.000000000,1.000000000,1.000000000,0.036666700,-0.311875975,1.832393402,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2366,C,26,-0.211342066,0.211342066,0.529512901,0.250878782,0.211342066,0.000000000,1.000000000,1.000000000,0.019802000,0.935333390,0.715690471,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2403,A,73,0.063210375,0.063210375,0.071621434,0.084927450,0.074093262,0.808219178,0.616438356,0.534246575,,0.054937768,1.207367038,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC2976,C,27,-0.149556322,0.149556322,0.745539420,0.239111157,0.151920625,0.037037037,0.925925926,0.925925926,0.048458100,0.869742541,0.751159293,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
