Metric,N,Value,SecondaryValue,InterpretationGuardrail
coverage_joined,7,7,,p05_non_circular_control_no_velocity_endpoint_no_attribution
pearson_p05_burden_vs_w_tau_score,7,0.217454567,higher non-circular burden expected higher W_tau_eff candidate score if P05 absorbs signal,p05_non_circular_control_no_velocity_endpoint_no_attribution
spearman_p05_burden_vs_w_tau_score,7,0.107142857,rank control for small overlap,p05_non_circular_control_no_velocity_endpoint_no_attribution
pearson_p05_burden_vs_abs_w_tau,7,0.219950231,absolute residual-inferred weight,p05_non_circular_control_no_velocity_endpoint_no_attribution
pearson_p05_burden_vs_history_improvement,7,-0.116127126,history diagnostic control,p05_non_circular_control_no_velocity_endpoint_no_attribution
median_score_low_p05_burden,4,0.484090909,,p05_non_circular_control_no_velocity_endpoint_no_attribution
median_score_high_p05_burden,3,0.409090909,,p05_non_circular_control_no_velocity_endpoint_no_attribution
auc_high_vs_low_p05_burden,7,0.333333333,median split within P05 overlap,p05_non_circular_control_no_velocity_endpoint_no_attribution
pearson_MedianNonCircularAmplitudeKms_vs_w_tau_score,7,-0.103222212,single published non-circular control column,p05_non_circular_control_no_velocity_endpoint_no_attribution
pearson_MedianNonCircularAmplitudeInner1KpcKms_vs_w_tau_score,6,0.123594194,single published non-circular control column,p05_non_circular_control_no_velocity_endpoint_no_attribution
pearson_NonCircularAmplitudeOverVmaxPercent_vs_w_tau_score,7,0.518486407,single published non-circular control column,p05_non_circular_control_no_velocity_endpoint_no_attribution
pearson_MedianAbsResidualVelocityAfterHarmonicKms_vs_w_tau_score,7,0.047535108,single published non-circular control column,p05_non_circular_control_no_velocity_endpoint_no_attribution
