Metric,N,Value,SecondaryValue,InterpretationGuardrail
coverage_joined,45,45,,p09_observability_decomposition_not_bias_erasure_not_attribution
pearson_observer_geometry_vs_w_tau_score,45,-0.225721262,line-of-sight geometry channel,p09_observability_decomposition_not_bias_erasure_not_attribution
spearman_observer_geometry_vs_w_tau_score,45,-0.184069276,rank line-of-sight geometry channel,p09_observability_decomposition_not_bias_erasure_not_attribution
auc_high_vs_low_observer_geometry,45,0.389328063,median split of geometry channel,p09_observability_decomposition_not_bias_erasure_not_attribution
pearson_reconstruction_risk_vs_w_tau_score,45,0.289724767,measurement/deprojection reconstruction risk channel,p09_observability_decomposition_not_bias_erasure_not_attribution
spearman_reconstruction_risk_vs_w_tau_score,45,0.333959220,rank reconstruction risk channel,p09_observability_decomposition_not_bias_erasure_not_attribution
auc_high_vs_low_reconstruction_risk,45,0.750000000,median split of reconstruction risk channel,p09_observability_decomposition_not_bias_erasure_not_attribution
pearson_inclination_deg_vs_w_tau_score,45,-0.062882690,raw inclination,p09_observability_decomposition_not_bias_erasure_not_attribution
pearson_inclination_error_vs_w_tau_score,45,0.251685097,deprojection uncertainty proxy,p09_observability_decomposition_not_bias_erasure_not_attribution
pearson_mean_err_vobs_vs_w_tau_score,45,-0.196321724,velocity error proxy,p09_observability_decomposition_not_bias_erasure_not_attribution
pearson_n_points_vs_w_tau_score,45,-0.256276232,sampling/coverage proxy,p09_observability_decomposition_not_bias_erasure_not_attribution
pearson_observer_geometry_vs_abs_w_tau,45,-0.175486643,absolute residual-inferred weight,p09_observability_decomposition_not_bias_erasure_not_attribution
pearson_reconstruction_risk_vs_abs_w_tau,45,0.295031914,absolute residual-inferred weight,p09_observability_decomposition_not_bias_erasure_not_attribution
median_score_by_InclinationBin_edge_on_ge75,11,0.409090909,edge_on_ge75,p09_observability_decomposition_not_bias_erasure_not_attribution
median_score_by_InclinationBin_face_on_lt45,4,0.500000000,face_on_lt45,p09_observability_decomposition_not_bias_erasure_not_attribution
median_score_by_InclinationBin_inclined_60_75,15,0.500000000,inclined_60_75,p09_observability_decomposition_not_bias_erasure_not_attribution
median_score_by_InclinationBin_mid_45_60,15,0.536363636,mid_45_60,p09_observability_decomposition_not_bias_erasure_not_attribution
median_score_by_ObserverGeometrySplit_high,22,0.402272727,high,p09_observability_decomposition_not_bias_erasure_not_attribution
median_score_by_ObserverGeometrySplit_low,23,0.563636364,low,p09_observability_decomposition_not_bias_erasure_not_attribution
median_score_by_ReconstructionRiskSplit_high,22,0.659090910,high,p09_observability_decomposition_not_bias_erasure_not_attribution
median_score_by_ReconstructionRiskSplit_low,23,0.327272727,low,p09_observability_decomposition_not_bias_erasure_not_attribution
