GalaxyName,ClassAuditOnly,SPARC_RadiusKpc,SPARC_RadiusFraction,THINGS_RingIndex,THINGS_RadiusCenterKpc,RadiusDeltaKpc,StressDispersionOverRotationScale,S_tau_source_percentile,S_tau_source_log,CalibrationStatus,ReadoutStatus,AbsResidualProjection,AbsResidualMONDSimple,AbsResidualRAR
DDO154,A,0.49,0.0827703,3,0.474268984,0.015731016,2.868348251,0.000000000,0.000000000,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.365666132264,0.430968848168,0.430052645338
DDO154,A,0.99,0.16723,7,1.016290679,0.026290679,2.235606942,0.000000000,0.000000000,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.230158934582,0.302515267351,0.301693606347
DDO154,A,1.48,0.25,10,1.422806951,0.057193049,1.548471645,0.000000000,0.000000000,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0793337435799,0.163383051058,0.16268875175
DDO154,A,1.97,0.33277,14,1.964828646,0.005171354,1.174376483,0.000000000,0.000000000,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0177012590307,0.108535919505,0.107902712713
DDO154,A,2.47,0.41723,18,2.506850342,0.036850342,1.052275860,0.000000000,0.000000000,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0200916765074,0.0799072014676,0.079345049054
DDO154,A,2.96,0.5,21,2.913366613,0.046633387,1.107041166,0.000000000,0.000000000,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0456008721283,0.0590339190396,0.058503525474
DDO154,A,3.46,0.584459,25,3.455388309,0.004611691,0.931621771,0.000000000,0.000000000,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0385762994653,0.0684943642447,0.0679796742314
DDO154,A,3.95,0.66723,29,3.997410004,0.047410004,0.690359071,0.000000000,0.000000000,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0498440734706,0.0663503824422,0.0658891988579
DDO154,A,4.44,0.75,32,4.403926276,0.036073724,0.627438919,0.000000000,0.000000000,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.0754474179634,0.055132471414,0.0547415191738
DDO154,A,4.94,0.834459,36,4.945947971,0.005947971,0.625561927,0.000000000,0.000000000,source_only_frozen_candidate_not_residual_validated,source_only_bounded_stau_sensitivity_not_model_selection,0.100820977005,0.0451698360357,0.0448393822436
