GalaxyName,ExternalClassAuditOnly,EvidenceType,Confidence,Predicted_S_tau_source_v01,PredictionRule,InterpretationGuardrail,Median_S_tau_eff_clipped_ReadoutOnly,PredictionMinusReadout,AbsPredictionError,BaselineS_tau1AbsError,ReadoutUse
CamB,A,regular_kinematics,Medium,1.050000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,0.000000000,1.050000000,1.050000000,1.000000000,post_freeze_diagnostic_only_not_rule_training
DDO154,A,regular_kinematics,Medium,1.050000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,1.075937486,-0.025937486,0.025937486,0.075937486,post_freeze_diagnostic_only_not_rule_training
ESO079-G014,A,regular_kinematics,Medium,1.050000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,1.150995878,-0.100995878,0.100995878,0.150995878,post_freeze_diagnostic_only_not_rule_training
ESO116-G012,A,regular_kinematics,Medium,1.050000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,1.278820709,-0.228820709,0.228820709,0.278820709,post_freeze_diagnostic_only_not_rule_training
NGC2403,A,regular_kinematics,Medium,1.050000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,1.207367038,-0.157367038,0.157367038,0.207367038,post_freeze_diagnostic_only_not_rule_training
NGC3198,A,low_asymmetry,Medium,1.050000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,0.984559896,0.065440104,0.065440104,0.015440104,post_freeze_diagnostic_only_not_rule_training
NGC3917,A,regular_kinematics,Medium,1.050000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,1.059575651,-0.009575651,0.009575651,0.059575651,post_freeze_diagnostic_only_not_rule_training
NGC3972,A,regular_kinematics,Medium,1.050000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,1.204107773,-0.154107773,0.154107773,0.204107773,post_freeze_diagnostic_only_not_rule_training
NGC4183,A,regular_kinematics,Medium,1.050000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,0.930379308,0.119620692,0.119620692,0.069620692,post_freeze_diagnostic_only_not_rule_training
NGC4559,A,low_asymmetry,Medium,1.050000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,0.705353000,0.344647000,0.344647000,0.294647000,post_freeze_diagnostic_only_not_rule_training
NGC5585,A,low_asymmetry,Medium,1.050000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,0.873246096,0.176753904,0.176753904,0.126753904,post_freeze_diagnostic_only_not_rule_training
