GalaxyName,Class,RadiusKpc,RadiusFraction,aN_over_a0,SourceS_tau,RadialFactor,RadialZone,Predicted_S_tau_radial_v01,AbsLogResidual_S_tau1,AbsLogResidual_RadialRule,DeltaAbsLogResidual_RadialMinusS1,InterpretationGuardrail
CamB,A,0.16,0.0893855,0.0177076,1.050000000,0.940000000,inner_low_acc_boost,0.987000000,1.386657527,1.378915470,-0.007742057,radial_source_rule_velocity_readout_no_refit
CamB,A,0.41,0.22905,0.0413779,1.050000000,0.940000000,inner_low_acc_boost,0.987000000,1.263869719,1.256860390,-0.007009329,radial_source_rule_velocity_readout_no_refit
CamB,A,0.57,0.318436,0.047674,1.050000000,0.940000000,inner_low_acc_boost,0.987000000,1.138043838,1.131174496,-0.006869341,radial_source_rule_velocity_readout_no_refit
CamB,A,0.73,0.407821,0.0517756,1.050000000,1.020000000,middle_low_acc_boost,1.071000000,1.022299843,1.058566300,0.036266458,radial_source_rule_velocity_readout_no_refit
CamB,A,0.9,0.502793,0.0509801,1.050000000,1.020000000,middle_low_acc_boost,1.071000000,0.915686551,0.952036372,0.036349822,radial_source_rule_velocity_readout_no_refit
CamB,A,1.06,0.592179,0.0477359,1.050000000,1.020000000,middle_low_acc_boost,1.071000000,0.806898739,0.843598500,0.036699760,radial_source_rule_velocity_readout_no_refit
CamB,A,1.22,0.681564,0.0417949,1.050000000,1.100000000,outer_low_acc_boost,1.150000000,0.701569904,0.778977703,0.077407799,radial_source_rule_velocity_readout_no_refit
CamB,A,1.47,0.821229,0.0352171,1.050000000,1.100000000,outer_low_acc_boost,1.150000000,0.602764762,0.681893884,0.079129122,radial_source_rule_velocity_readout_no_refit
CamB,A,1.79,1,0.0239742,1.050000000,1.100000000,outer_low_acc_boost,1.150000000,0.388524095,0.471222236,0.082698141,radial_source_rule_velocity_readout_no_refit
DDO154,A,0.49,0.0827703,0.0494691,1.050000000,0.940000000,inner_low_acc_boost,0.987000000,0.365666101,0.358834210,-0.006831891,radial_source_rule_velocity_readout_no_refit
DDO154,A,0.99,0.16723,0.0440568,1.050000000,0.940000000,inner_low_acc_boost,0.987000000,0.230159029,0.223211020,-0.006948010,radial_source_rule_velocity_readout_no_refit
DDO154,A,1.48,0.25,0.0368617,1.050000000,0.940000000,inner_low_acc_boost,0.987000000,0.079333752,0.072214228,-0.007119524,radial_source_rule_velocity_readout_no_refit
DDO154,A,1.97,0.33277,0.0334508,1.050000000,1.020000000,middle_low_acc_boost,1.071000000,0.017701221,0.056183973,0.038482751,radial_source_rule_velocity_readout_no_refit
DDO154,A,2.47,0.41723,0.0295179,1.050000000,1.020000000,middle_low_acc_boost,1.071000000,0.020091727,0.018976488,-0.001115239,radial_source_rule_velocity_readout_no_refit
