Survey,ExternalName,logrho,logMass,DVsys,DVsysopt,Aspec,Aflux,Apeak,Amap,A1_inner,A2_outer,Avel,Source,AllowedUse,InterpretationGuardrail
LVHIS,LVHIS001,-1.370000000,7.300000000,1,11,0.264000000,1.060000000,,0.070000000,,,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS003,-1.240000000,6.200000000,1,22,,,,0.070000000,,,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS004,-1.190000000,9.400000000,3,5,,,1.260000000,0.130000000,0.450000000,,0.032000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS005,-1.150000000,9.500000000,0,4,0.124000000,1.030000000,1.010000000,0.190000000,0.150000000,,0.028000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS006,-1.500000000,10.400000000,12,3,0.446000000,1.240000000,1.220000000,0.180000000,,,0.017000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS007,-1.300000000,9.700000000,5,8,0.304000000,1.130000000,1.250000000,0.050000000,0.200000000,,0.026000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS008,-1.580000000,8.700000000,0,5,0.126000000,1.030000000,1.020000000,0.120000000,0.160000000,0.170000000,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS009,-1.550000000,8.300000000,0,3,0.154000000,1.200000000,,0.130000000,0.280000000,0.140000000,0.059000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS010,-1.220000000,6.800000000,0,,0.432000000,1.160000000,,0.250000000,,,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS011,-1.360000000,8.100000000,0,0,0.156000000,1.040000000,1.020000000,0.070000000,0.120000000,0.380000000,0.020000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS012,-1.100000000,8.700000000,0,2,0.166000000,1.010000000,1.010000000,0.090000000,0.170000000,0.370000000,0.024000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS013,-0.960000000,7.000000000,3,,0.292000000,1.320000000,,0.400000000,,,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS014,-1.540000000,9.500000000,2,30,0.096000000,1.020000000,1.080000000,0.220000000,0.260000000,0.200000000,0.042000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS015,-1.230000000,8.200000000,1,11,0.172000000,1.150000000,,0.110000000,0.140000000,0.370000000,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS016,-1.350000000,7.100000000,0,,0.426000000,1.040000000,,,,,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS017,-0.980000000,8.500000000,1,19,0.072000000,1.040000000,1.050000000,0.040000000,0.070000000,0.640000000,0.014000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS018,-1.190000000,8.200000000,7,1,0.120000000,1.170000000,1.120000000,0.070000000,0.040000000,0.210000000,0.045000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS019,-1.100000000,7.300000000,1,45,0.116000000,1.120000000,,0.110000000,0.100000000,0.160000000,0.047000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS020,-0.980000000,7.600000000,1,,0.138000000,1.090000000,1.160000000,0.080000000,0.070000000,0.120000000,0.034000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
