GalaxyName,Class,NPoints,Median_S_tau_eff_clipped,Mean_S_tau_eff_clipped,RMSDeviationFromOne,RawFractionBelowZero,RawFractionAboveTwo,LowAccelerationMedian_S_tau,RadiusPearson_S_tau,ResidualPearson_S_tau,InterpretationGuardrail
CamB,A,9,0.000000000,0.075057093,0.935523335,0.666666667,0.000000000,0.000000000,0.799094567,-0.775137113,derived_from_vobs_not_heldout_prediction
DDO154,A,12,1.075937486,0.978937280,0.228790471,0.000000000,0.000000000,1.075937486,0.851391857,-0.844452186,derived_from_vobs_not_heldout_prediction
ESO079-G014,A,15,1.150995878,1.069347061,0.312104321,0.000000000,0.000000000,,0.469534824,-0.405391002,derived_from_vobs_not_heldout_prediction
ESO116-G012,A,15,1.278820709,1.206624508,0.282719713,0.000000000,0.000000000,1.340448091,0.736740306,0.749954923,derived_from_vobs_not_heldout_prediction
IC2574,C,34,0.764630398,0.715885212,0.323683096,0.000000000,0.000000000,0.764630398,0.753661031,-0.995358004,derived_from_vobs_not_heldout_prediction
NGC0055,C,21,0.719293901,0.639152808,0.391854999,0.000000000,0.000000000,0.740429250,0.817141813,-0.995473993,derived_from_vobs_not_heldout_prediction
NGC1705,C,14,1.832393402,1.847663068,0.851917408,0.000000000,0.142857143,1.824334688,-0.578938126,-0.007580113,derived_from_vobs_not_heldout_prediction
NGC2366,C,26,0.715690471,0.646779562,0.401911454,0.000000000,0.000000000,0.715690471,0.564606418,-0.988961322,derived_from_vobs_not_heldout_prediction
NGC2403,A,73,1.207367038,1.175262423,0.240727933,0.000000000,0.000000000,1.237984631,0.274513706,0.716052172,derived_from_vobs_not_heldout_prediction
NGC2976,C,27,0.751159293,0.661502974,0.445679876,0.111111111,0.000000000,,0.839526045,-0.940339858,derived_from_vobs_not_heldout_prediction
NGC3109,C,25,1.312652669,1.253270966,0.339442629,0.000000000,0.000000000,1.312652669,0.935988022,0.864045864,derived_from_vobs_not_heldout_prediction
NGC3198,A,43,0.984559896,0.884337924,0.323785845,0.069767442,0.000000000,0.986102484,0.345298577,-0.898154866,derived_from_vobs_not_heldout_prediction
NGC3741,C,21,1.381071587,1.251725122,0.374494852,0.000000000,0.000000000,1.381071587,0.835716588,0.504264911,derived_from_vobs_not_heldout_prediction
NGC3917,A,17,1.059575651,1.005804562,0.290985908,0.058823529,0.000000000,1.059575651,0.263161244,-0.752560851,derived_from_vobs_not_heldout_prediction
