GalaxyName,FileName,SourceRole,Shape,Object,Telescope,Instrument,BUNIT,CTYPE1,CTYPE2,CRVAL1,CRVAL2,CRPIX1,CRPIX2,CDELT1,CDELT2,FinitePixelCount,FiniteMin,FiniteMax,HeaderReadable,GitTrackedRaw,Guardrail
NGC3031,ngc3031_v7.phot.1.fits,SINGS_IRAC1_3P6UM,3299x3149,NGC3031,Spitzer,IRAC,MJy/sr,RA---TAN,DEC--TAN,148.888215,69.065295,1454.0,1905.0,,,5691815,-1.40287352,222.445526,yes,no,fits_readiness_only_no_component_arrays_no_scores
NGC925,ngc0925_v7.phot.1.fits,SINGS_IRAC1_3P6UM,1905x1691,NGC0925,Spitzer,IRAC,MJy/sr,RA---TAN,DEC--TAN,36.820335,33.579167,727.0,704.0,,,1970498,-0.181717828,181.055359,yes,no,fits_readiness_only_no_component_arrays_no_scores
NGC3031,NGC_3031_NA_MOM0_THINGS.FITS,THINGS_HI_MOM0,1x1x2201x2201,M81NORTH,VLA,VLA,JY/B*M/S,RA---SIN,DEC--SIN,148.732417866,69.1689854921,1237.0,1348.0,-0.0004166666768,0.0004166666768,4844401,-49.8701859,89749.4766,yes,no,fits_readiness_only_no_component_arrays_no_scores
NGC3031,NGC_3031_NA_MOM1_THINGS.FITS,THINGS_HI_MOM1,1x1x2201x2201,M81NORTH,VLA,VLA,METR/SEC,RA---SIN,DEC--SIN,148.732417866,69.1689854921,1237.0,1348.0,-0.0004166666768,0.0004166666768,2236823,-261589.375,189475.312,yes,no,fits_readiness_only_no_component_arrays_no_scores
NGC3031,NGC_3031_RO_MOM0_THINGS.FITS,THINGS_HI_MOM0,1x1x2201x2201,M81NORTH,VLA,VLA,JY/B*M/S,RA---SIN,DEC--SIN,148.732417866,69.1689854921,1237.0,1348.0,-0.0004166666768,0.0004166666768,4844401,-197.050537,74399.6172,yes,no,fits_readiness_only_no_component_arrays_no_scores
NGC3031,NGC_3031_RO_MOM1_THINGS.FITS,THINGS_HI_MOM1,1x1x2201x2201,M81NORTH,VLA,VLA,METR/SEC,RA---SIN,DEC--SIN,148.732417866,69.1689854921,1237.0,1348.0,-0.0004166666768,0.0004166666768,2219209,-266640.344,189475.312,yes,no,fits_readiness_only_no_component_arrays_no_scores
NGC925,NGC_925_NA_MOM0_THINGS.FITS,THINGS_HI_MOM0,1x1x1024x1024,NGC925,VLA,VLA,JY/B*M/S,RA---SIN,DEC--SIN,36.8203747728,33.5791693282,512.0,513.0,-0.0004166666768,0.0004166666768,1048576,-10.1241741,157.405533,yes,no,fits_readiness_only_no_component_arrays_no_scores
NGC925,NGC_925_NA_MOM1_THINGS.FITS,THINGS_HI_MOM1,1x1x1024x1024,NGC925,VLA,VLA,METR/SEC,RA---SIN,DEC--SIN,36.8203747728,33.5791693282,512.0,513.0,-0.0004166666768,0.0004166666768,242104,427964.531,683886.875,yes,no,fits_readiness_only_no_component_arrays_no_scores
NGC925,NGC_925_RO_MOM0_THINGS.FITS,THINGS_HI_MOM0,1x1x1024x1024,NGC925,VLA,VLA,JY/B*M/S,RA---SIN,DEC--SIN,36.8203747728,33.5791693282,512.0,513.0,-0.0004166666768,0.0004166666768,1048576,-25.9221153,120.932892,yes,no,fits_readiness_only_no_component_arrays_no_scores
NGC925,NGC_925_RO_MOM1_THINGS.FITS,THINGS_HI_MOM1,1x1x1024x1024,NGC925,VLA,VLA,METR/SEC,RA---SIN,DEC--SIN,36.8203747728,33.5791693282,512.0,513.0,-0.0004166666768,0.0004166666768,238976,427958.656,683920.312,yes,no,fits_readiness_only_no_component_arrays_no_scores
