GalaxyName,AGC,FreezeRole,PointIndex,RadiusKpc,RadiusFraction,aN_over_a0,VobsKms,VbarKms,LogKernelAlphaLn,SignedLogResidual_TPG,CumulativeMeanSignedResidual,HistoryStatePriorMeanSignedResidual,Predicted_S_tau_history_v01,SignedLogResidual_HistoryRule,InterpretationGuardrail
NGC2841,,things_table3_predeclared_expansion_candidate,1,3.440000000,0.054054054,4.200265862,285.000000000,231.304193866,0.076882294,0.134685378,0.134685378,0.000000000,1.000000000,0.134685378,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,2,3.770000000,0.059239472,3.684295215,297.000000000,226.784715755,0.086449039,0.186816344,0.160750861,0.134685378,1.067342689,0.181472174,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,3,4.130000000,0.064896292,3.269873498,303.000000000,223.617813736,0.096059845,0.212072609,0.177858110,0.160750861,1.080375430,0.205053116,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,4,4.470000000,0.070238843,2.953177535,306.000000000,221.087625434,0.104989670,0.225189997,0.189691082,0.177858110,1.088929055,0.216775974,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,5,4.800000000,0.075424261,2.697403048,307.000000000,218.957303646,0.113522839,0.230442279,0.197841321,0.189691082,1.094845541,0.220819295,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,6,5.130000000,0.080609679,2.487298006,304.000000000,217.364436213,0.121654887,0.220647154,0.201642294,0.197841321,1.098920661,0.209975349,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,7,5.480000000,0.086109365,2.303293000,308.000000000,216.187594279,0.129808804,0.231904842,0.205965515,0.201642294,1.100821147,0.220387626,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,8,5.830000000,0.091609051,2.138643853,313.000000000,214.866844999,0.138102803,0.246822011,0.211072577,0.205965515,1.102982757,0.234403030,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,9,6.160000000,0.096794469,2.004184295,314.000000000,213.808555325,0.145716818,0.248281489,0.215206900,0.211072577,1.105536288,0.234948249,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,10,6.510000000,0.102294155,1.907477114,315.000000000,214.430252950,0.151741529,0.243312944,0.218017505,0.215206900,1.107603450,0.229235779,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
