GalaxyName,Class,W_tau_eff_signed_v01,W_tau_eff_abs_v01,W_tau_eff_candidate_score_v01,HistoryImprovement_PositiveIsBetter,MaxAbsCumulativeMeanResidual,SignImbalance,MaxSameSignRunFraction,FirstBreakRadiusFraction_abs0p15,Median_S_tau_eff_clipped,MapReadiness,CandidateConfidenceTier,InterpretationGuardrail
CamB,A,-0.914034998,0.914034998,0.854545455,0.225535469,1.386657527,1.000000000,1.000000000,0.089385500,0.000000000,needs_ra_dec_distance_environment_join,high_candidate,w_tau_eff_residual_inferred_seed_not_tau_core_field_map
DDO154,A,-0.015609254,0.015609254,0.213636364,0.004593425,0.365666101,0.333333333,0.666666667,0.082770300,1.075937486,needs_ra_dec_distance_environment_join,low_or_control_candidate,w_tau_eff_residual_inferred_seed_not_tau_core_field_map
ESO079-G014,A,0.023903266,0.023903266,0.136363636,-0.000482269,0.104414536,0.466666667,0.666666667,,1.150995878,needs_ra_dec_distance_environment_join,low_or_control_candidate,w_tau_eff_residual_inferred_seed_not_tau_core_field_map
ESO116-G012,A,0.087400328,0.087400328,0.254545455,0.008566997,0.087400328,0.600000000,0.800000000,,1.278820709,needs_ra_dec_distance_environment_join,low_or_control_candidate,w_tau_eff_residual_inferred_seed_not_tau_core_field_map
IC2574,C,-0.186301949,0.186301949,0.718181818,0.072542889,0.508875693,1.000000000,1.000000000,0.083089000,0.764630398,needs_ra_dec_distance_environment_join,high_candidate,w_tau_eff_residual_inferred_seed_not_tau_core_field_map
NGC0055,C,-0.188681855,0.188681855,0.681818182,0.053194637,0.395332399,1.000000000,1.000000000,0.091111100,0.719293901,needs_ra_dec_distance_environment_join,medium_candidate,w_tau_eff_residual_inferred_seed_not_tau_core_field_map
NGC1705,C,0.350111963,0.350111963,0.759090909,0.071876804,0.457663102,1.000000000,1.000000000,0.036666700,1.832393402,needs_ra_dec_distance_environment_join,high_candidate,w_tau_eff_residual_inferred_seed_not_tau_core_field_map
NGC2366,C,-0.211342066,0.211342066,0.759090909,0.068583227,0.529512901,1.000000000,1.000000000,0.019802000,0.715690471,needs_ra_dec_distance_environment_join,high_candidate,w_tau_eff_residual_inferred_seed_not_tau_core_field_map
NGC2403,A,0.063210375,0.063210375,0.168181818,0.007521637,0.071621434,0.616438356,0.534246575,,1.207367038,needs_ra_dec_distance_environment_join,low_or_control_candidate,w_tau_eff_residual_inferred_seed_not_tau_core_field_map
NGC2976,C,-0.149556322,0.149556322,0.663636364,0.043934169,0.745539420,0.925925926,0.925925926,0.048458100,0.751159293,needs_ra_dec_distance_environment_join,medium_candidate,w_tau_eff_residual_inferred_seed_not_tau_core_field_map
