GalaxyName,SurveyTable,UGC,Gini,M20,Concentration2080,Concentration5080,AsymmetryA,SmoothnessS,Ellipticity,GM,Lopsidedness,LopX,LopY,WHISP_HolwerdaMorphologyBurden_v01,Source,AllowedUse,InterpretationGuardrail
UGC00731,Swaters2002_WHISP,00731,0.536999579456,-1.0577821946,5.98767544828,2.64034139143,0.647785680245,0.204955062309,0.413466757074,0.453856873257,1.41421356237,1.0,1.0,0.670105265,VizieR_J_MNRAS_416_2415_Holwerda_etal_2011,published_WHISP_HI_morphology_proxy_only,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC01249,Swaters2002_WHISP,01249,0.61000226481,-0.930157678913,9.77025637935,2.95586459428,1.26954885998,0.171265266881,0.488655435703,0.663089573372,1.40115266276,0.992919886544,0.988604513066,0.832655556,VizieR_J_MNRAS_416_2415_Holwerda_etal_2011,published_WHISP_HI_morphology_proxy_only,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC01281,Swaters2002_WHISP,01281,0.689984438585,-1.36010363742,8.43024136698,3.71350571146,0.507947202618,0.149479446631,0.70255233498,0.587206728751,1.41421356237,1.0,1.0,0.693548137,VizieR_J_MNRAS_416_2415_Holwerda_etal_2011,published_WHISP_HI_morphology_proxy_only,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC02023,Swaters2002_WHISP,02023,0.5730993699,-1.32055313367,6.40603996879,2.65455135907,0.840666979246,0.19862416787,0.222309920447,0.427317299719,1.37484172692,0.974322014523,0.969992982498,0.659110699,VizieR_J_MNRAS_416_2415_Holwerda_etal_2011,published_WHISP_HI_morphology_proxy_only,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC02034,Swaters2002_WHISP,02034,0.501734949531,-1.26875482451,6.31797420183,2.7072012393,0.758626279569,0.231969620354,0.0321843094136,0.395609938131,1.38728661386,0.980424555337,0.981494697019,0.602516706,VizieR_J_MNRAS_416_2415_Holwerda_etal_2011,published_WHISP_HI_morphology_proxy_only,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC02053,Swaters2002_WHISP,02053,0.625916797955,-1.38969820741,6.94910115672,3.34634619166,0.747845612061,0.189658230359,0.100717042461,0.413129766352,1.41421356237,1.0,1.0,0.613108612,VizieR_J_MNRAS_416_2415_Holwerda_etal_2011,published_WHISP_HI_morphology_proxy_only,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC02455,Swaters2002_WHISP,02455,0.677550169757,-1.33974656298,6.82836497492,3.37882285944,0.672580822374,0.129332788143,0.22044575501,0.442703983659,1.41421356237,1.0,1.0,0.609143232,VizieR_J_MNRAS_416_2415_Holwerda_etal_2011,published_WHISP_HI_morphology_proxy_only,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC03137,Swaters2002_WHISP,03137,0.662543766443,-1.68254660737,10.0396955174,4.42135132938,1.28289898224,0.290662236771,0.797518480821,0.594715595662,1.41421356237,1.0,1.0,0.946323316,VizieR_J_MNRAS_416_2415_Holwerda_etal_2011,published_WHISP_HI_morphology_proxy_only,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC03371,Swaters2002_WHISP,03371,0.481092962891,-1.04030012696,5.44708866998,2.54141404126,1.66670239063,0.345334441415,0.320200460925,0.447311348206,1.39058401651,0.981205168095,0.985373190766,0.930705327,VizieR_J_MNRAS_416_2415_Holwerda_etal_2011,published_WHISP_HI_morphology_proxy_only,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC03698,Swaters2002_WHISP,03698,0.600782388304,-0.656460277705,2.09450724574,0.670133742237,1.90893601357,0.305891830546,0.52538845114,0.692091847375,1.41421356237,1.0,1.0,1.038607464,VizieR_J_MNRAS_416_2415_Holwerda_etal_2011,published_WHISP_HI_morphology_proxy_only,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
