GalaxyName,SurveyTable,AsymmetryA,AsymmetryASplit,AsymmetryAMedianCutoff,Lopsidedness,SmoothnessS,Ellipticity,GM,WHISP_HolwerdaMorphologyBurden_v01,MorphologyBurdenSplit,MorphologyBurdenMedianCutoff,W_tau_eff_score_resolved_v01,W_tau_eff_abs_v01,W_tau_eff_signed_v01,ScoreSource,CandidateConfidenceTier,ReadoutUse,InterpretationGuardrail
UGC00731,Swaters2002_WHISP,0.647785680245,low,0.916886439,1.41421356237,0.204955062309,0.413466757074,0.453856873257,0.670105265,low,0.714811835,0.563636364,0.210013035,0.210013035,frozen_original_w_tau_eff_seed,medium_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC01281,Swaters2002_WHISP,0.507947202618,low,0.916886439,1.41421356237,0.149479446631,0.70255233498,0.587206728751,0.693548137,low,0.714811835,0.209090909,0.013184891,0.013184891,expanded_yu2022_rotmod_scoring_frozen_w_tau_eff_calibration,low_or_control_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC02455,Swaters2002_WHISP,0.672580822374,low,0.916886439,1.41421356237,0.129332788143,0.22044575501,0.442703983659,0.609143232,low,0.714811835,0.895454545,0.766182963,-0.766182963,frozen_original_w_tau_eff_seed,high_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC04305,Swaters2002_WHISP,1.09205602043,high,0.916886439,1.41421356237,0.216606242116,0.13637151502,0.420407064048,0.714811835,low,0.714811835,0.895454545,0.549799788,-0.549799788,frozen_original_w_tau_eff_seed,high_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC04325,Swaters2002_WHISP,0.924658412223,high,0.916886439,1.41421356237,0.197623013017,0.28834970716,0.402447789035,0.706211174,low,0.714811835,0.777272727,0.256220303,0.256220303,frozen_original_w_tau_eff_seed,high_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC04499,Swaters2002_WHISP,0.713615661639,low,0.916886439,1.41421356237,0.227384076876,0.307576009745,0.426475415564,0.665697328,low,0.714811835,0.581818182,0.096146716,-0.096146716,frozen_original_w_tau_eff_seed,medium_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC05721,Swaters2002_WHISP,0.62774033267,low,0.916886439,1.37067420397,0.139578224714,0.509272710328,0.472635187735,0.661816368,low,0.714811835,0.663636364,0.266742093,0.266742093,expanded_yu2022_rotmod_scoring_frozen_w_tau_eff_calibration,medium_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC05829,Swaters2002_WHISP,1.08941876391,high,0.916886439,1.41421356237,0.176046555264,0.217568755754,0.468776302718,0.724311909,high,0.714811835,0.122727273,0.011351180,0.011351180,frozen_original_w_tau_eff_seed,low_or_control_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC05918,Swaters2002_WHISP,1.93027225579,high,0.916886439,1.39696730783,0.275511389748,0.354591061504,0.453535634346,0.989335504,high,0.714811835,0.359090909,0.090353387,0.090353387,frozen_original_w_tau_eff_seed,low_or_control_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC06446,Swaters2002_WHISP,0.702582531786,low,0.916886439,1.38048966432,0.22199334692,0.273328888235,0.422547817504,0.644598608,low,0.714811835,0.577272727,0.162087165,0.162087165,frozen_original_w_tau_eff_seed,medium_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
