Metric,N,Value,SecondaryValue,InterpretationGuardrail
coverage_joined,25,25,original_seed=17;expanded=8,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
pearson_AsymmetryA_vs_w_tau_score,25,0.161199465,higher WHISP morphology burden expected higher W_tau_eff,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
spearman_AsymmetryA_vs_w_tau_score,25,0.235045205,rank direction,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
pearson_Lopsidedness_vs_w_tau_score,25,0.171403738,higher WHISP morphology burden expected higher W_tau_eff,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
spearman_Lopsidedness_vs_w_tau_score,25,0.157632062,rank direction,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
pearson_SmoothnessS_vs_w_tau_score,25,0.072296644,higher WHISP morphology burden expected higher W_tau_eff,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
spearman_SmoothnessS_vs_w_tau_score,25,0.247739955,rank direction,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
pearson_Ellipticity_vs_w_tau_score,25,-0.078191967,higher WHISP morphology burden expected higher W_tau_eff,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
spearman_Ellipticity_vs_w_tau_score,25,-0.069244087,rank direction,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
pearson_GM_vs_w_tau_score,25,-0.049053865,higher WHISP morphology burden expected higher W_tau_eff,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
spearman_GM_vs_w_tau_score,25,-0.013848817,rank direction,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
pearson_WHISP_HolwerdaMorphologyBurden_v01_vs_w_tau_score,25,0.122414520,higher WHISP morphology burden expected higher W_tau_eff,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
spearman_WHISP_HolwerdaMorphologyBurden_v01_vs_w_tau_score,25,0.126562803,rank direction,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
auc_high_vs_low_AsymmetryA,25,0.644230769,median split by Holwerda Asymmetry A,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
auc_high_vs_low_morphology_burden,25,0.506410256,median split by mean A+Lop+S+Ell burden,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
median_score_low_AsymmetryA,13,0.554545455,,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
median_score_high_AsymmetryA,12,0.690909091,,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
