GalaxyName,Class,ProposedPilotRole,UGC,HubbleType,R25_kpc,A1_outer_gt_R25,A1_inner_lt_R25,A2_outer_gt_R25,A2_inner_lt_R25,A3_outer_gt_R25,A3_inner_lt_R25,TidalParameter_Tp,Rw_kpc,A1_1ltRwlt2,A2_1ltRwlt2,A3_1ltRwlt2,EpsilonKin,SourceTable1,SourceTableA1
UGC00731,C,quasi_radial_whisp_candidate,731,9.9,2.17,0.052,0.037,0.090,0.048,0.078,0.040,,3.38,0.051,0.060,0.073,0.001,https://www.aanda.org/articles/aa/full_html/2011/06/aa16178-10/T1.html,https://www.aanda.org/articles/aa/full_html/2011/06/aa16178-10/T2.html
UGC02455,C,quasi_radial_whisp_candidate,2455,9.9,3.27,0.194,0.138,0.223,0.045,0.121,0.047,,2.88,0.152,0.260,0.062,0.107,https://www.aanda.org/articles/aa/full_html/2011/06/aa16178-10/T1.html,https://www.aanda.org/articles/aa/full_html/2011/06/aa16178-10/T2.html
UGC03580,C,quasi_radial_whisp_candidate,3580,1.1,5.97,0.087,0.140,0.099,0.170,0.062,0.249,,9.39,0.098,0.087,0.057,0.030,https://www.aanda.org/articles/aa/full_html/2011/06/aa16178-10/T1.html,https://www.aanda.org/articles/aa/full_html/2011/06/aa16178-10/T2.html
UGC05253,C,quasi_radial_whisp_candidate,5253,2.4,11.14,0.051,0.129,0.043,0.095,0.120,0.097,-5.21,15.79,0.094,0.029,0.040,0.100,https://www.aanda.org/articles/aa/full_html/2011/06/aa16178-10/T1.html,https://www.aanda.org/articles/aa/full_html/2011/06/aa16178-10/T2.html
UGC05721,B,quasi_radial_whisp_candidate,5721,6.6,1.58,0.152,0.091,0.081,0.115,0.105,0.098,,4.23,0.136,0.089,0.143,0.062,https://www.aanda.org/articles/aa/full_html/2011/06/aa16178-10/T1.html,https://www.aanda.org/articles/aa/full_html/2011/06/aa16178-10/T2.html
UGC05829,C,quasi_radial_whisp_candidate,5829,9.8,5.85,0.079,0.072,0.061,0.115,0.131,0.041,,3.69,0.055,0.058,0.096,0.005,https://www.aanda.org/articles/aa/full_html/2011/06/aa16178-10/T1.html,https://www.aanda.org/articles/aa/full_html/2011/06/aa16178-10/T2.html
UGC05918,C,quasi_radial_whisp_candidate,5918,10,2.81,0.080,0.113,0.290,0.075,0.042,0.037,,3.47,0.092,0.309,0.044,0.100,https://www.aanda.org/articles/aa/full_html/2011/06/aa16178-10/T1.html,https://www.aanda.org/articles/aa/full_html/2011/06/aa16178-10/T2.html
UGC06446,C,quasi_radial_whisp_candidate,6446,6.6,2.46,0.052,0.011,0.064,0.048,0.039,0.100,,6.39,0.027,0.067,0.044,0.006,https://www.aanda.org/articles/aa/full_html/2011/06/aa16178-10/T1.html,https://www.aanda.org/articles/aa/full_html/2011/06/aa16178-10/T2.html
UGC07323,C,quasi_radial_whisp_candidate,7323,7.9,4.48,0.152,0.160,0.133,0.065,0.202,0.045,-5.67,3.25,0.131,0.077,0.138,0.010,https://www.aanda.org/articles/aa/full_html/2011/06/aa16178-10/T1.html,https://www.aanda.org/articles/aa/full_html/2011/06/aa16178-10/T2.html
UGC07524,B,quasi_radial_whisp_candidate,7524,8.9,2.12,0.121,0.182,0.109,0.175,0.093,0.041,-8.00,3.58,0.102,0.087,0.083,0.002,https://www.aanda.org/articles/aa/full_html/2011/06/aa16178-10/T1.html,https://www.aanda.org/articles/aa/full_html/2011/06/aa16178-10/T2.html
UGC07603,C,quasi_radial_whisp_candidate,7603,7,1.60,0.152,0.092,0.082,0.061,0.046,0.061,,2.57,0.196,0.101,0.046,0.064,https://www.aanda.org/articles/aa/full_html/2011/06/aa16178-10/T1.html,https://www.aanda.org/articles/aa/full_html/2011/06/aa16178-10/T2.html
UGC09133,B,quasi_radial_whisp_candidate,9133,2.4,22.77,0.188,0.097,0.070,0.064,0.073,0.012,,42.66,0.138,0.071,0.087,0.028,https://www.aanda.org/articles/aa/full_html/2011/06/aa16178-10/T1.html,https://www.aanda.org/articles/aa/full_html/2011/06/aa16178-10/T2.html
UGC12632,C,quasi_radial_whisp_candidate,12632,8.7,4.28,0.068,0.133,0.050,0.056,0.062,0.079,-6.24,4.25,0.068,0.050,0.068,0.001,https://www.aanda.org/articles/aa/full_html/2011/06/aa16178-10/T1.html,https://www.aanda.org/articles/aa/full_html/2011/06/aa16178-10/T2.html
UGC12732,B,quasi_radial_whisp_candidate,12732,8.7,5.29,0.089,0.123,0.105,0.107,0.097,0.061,-6.35,7.28,0.106,0.092,0.120,0.036,https://www.aanda.org/articles/aa/full_html/2011/06/aa16178-10/T1.html,https://www.aanda.org/articles/aa/full_html/2011/06/aa16178-10/T2.html
