GalaxyName,AGC,FreezeRole,ScoreSource,Af,Ac,MaxAfAc,MeanAfAc,LogMaxAfAc,ExcessMaxAfAc,ProfileAsymmetryTier,SN,W_tau_eff_readout_score_v01,W_tau_eff_signed_v01,W_tau_eff_abs_v01,CandidateConfidenceTier,ReadoutUse,InterpretationGuardrail
UGC00128,000128,anchor_existing_seed,frozen_original_w_tau_eff_seed,1.04,1.15,1.150000000,1.095000000,0.139761942,0.150000000,medium_profile_asymmetry,143.7,0.463636364,0.103579831,0.103579831,medium_candidate,frozen_yu2022_af_ac_direction_vs_committed_w_tau_eff_score,yu2022_alfalfa_af_ac_directional_readout_no_fit_no_claim
UGC00191,000191,anchor_existing_seed,frozen_original_w_tau_eff_seed,1.01,1.02,1.020000000,1.015000000,0.019802627,0.020000000,low_profile_asymmetry,154.5,0.154545455,0.070366381,0.070366381,low_or_control_candidate,frozen_yu2022_af_ac_direction_vs_committed_w_tau_eff_score,yu2022_alfalfa_af_ac_directional_readout_no_fit_no_claim
UGC01230,001230,predeclared_expansion_candidate,expanded_yu2022_rotmod_scoring_frozen_w_tau_eff_calibration,1.02,1.02,1.020000000,1.020000000,0.019802627,0.020000000,low_profile_asymmetry,143.9,0.163636364,0.023139335,0.023139335,low_or_control_candidate,frozen_yu2022_af_ac_direction_vs_committed_w_tau_eff_score,yu2022_alfalfa_af_ac_directional_readout_no_fit_no_claim
UGC01281,001281,predeclared_expansion_candidate,expanded_yu2022_rotmod_scoring_frozen_w_tau_eff_calibration,1.06,1.05,1.060000000,1.055000000,0.058268908,0.060000000,low_profile_asymmetry,276.7,0.209090909,0.013184891,0.013184891,low_or_control_candidate,frozen_yu2022_af_ac_direction_vs_committed_w_tau_eff_score,yu2022_alfalfa_af_ac_directional_readout_no_fit_no_claim
UGC02455,002455,anchor_existing_seed,frozen_original_w_tau_eff_seed,1.13,1.19,1.190000000,1.160000000,0.173953307,0.190000000,medium_profile_asymmetry,489.4,0.895454545,-0.766182963,0.766182963,high_candidate,frozen_yu2022_af_ac_direction_vs_committed_w_tau_eff_score,yu2022_alfalfa_af_ac_directional_readout_no_fit_no_claim
UGC02487,002487,predeclared_expansion_candidate,expanded_yu2022_rotmod_scoring_frozen_w_tau_eff_calibration,1.00,1.01,1.010000000,1.005000000,0.009950331,0.010000000,low_profile_asymmetry,24.4,0.627272727,0.206903998,0.206903998,medium_candidate,frozen_yu2022_af_ac_direction_vs_committed_w_tau_eff_score,yu2022_alfalfa_af_ac_directional_readout_no_fit_no_claim
UGC05005,005005,predeclared_expansion_candidate,expanded_yu2022_rotmod_scoring_frozen_w_tau_eff_calibration,1.01,1.03,1.030000000,1.020000000,0.029558802,0.030000000,low_profile_asymmetry,80.4,0.654545455,-0.155047114,0.155047114,medium_candidate,frozen_yu2022_af_ac_direction_vs_committed_w_tau_eff_score,yu2022_alfalfa_af_ac_directional_readout_no_fit_no_claim
UGC05716,005716,anchor_existing_seed,frozen_original_w_tau_eff_seed,1.01,1.00,1.010000000,1.005000000,0.009950331,0.010000000,low_profile_asymmetry,147.4,0.377272727,0.090702888,0.090702888,low_or_control_candidate,frozen_yu2022_af_ac_direction_vs_committed_w_tau_eff_score,yu2022_alfalfa_af_ac_directional_readout_no_fit_no_claim
UGC05721,005721,predeclared_expansion_candidate,expanded_yu2022_rotmod_scoring_frozen_w_tau_eff_calibration,1.07,1.20,1.200000000,1.135000000,0.182321557,0.200000000,high_profile_asymmetry,449.0,0.663636364,0.266742093,0.266742093,medium_candidate,frozen_yu2022_af_ac_direction_vs_committed_w_tau_eff_score,yu2022_alfalfa_af_ac_directional_readout_no_fit_no_claim
UGC05750,005750,predeclared_expansion_candidate,expanded_yu2022_rotmod_scoring_frozen_w_tau_eff_calibration,1.08,1.11,1.110000000,1.095000000,0.104360015,0.110000000,medium_profile_asymmetry,33.8,0.768181818,-0.252464808,0.252464808,high_candidate,frozen_yu2022_af_ac_direction_vs_committed_w_tau_eff_score,yu2022_alfalfa_af_ac_directional_readout_no_fit_no_claim
