GalaxyName,AGC,FreezeRole,ScoreSource,ScoringStatus,NPoints,W_tau_eff_signed_v01,W_tau_eff_abs_v01,AbsFinalMeanSignedResidual,MaxAbsCumulativeMeanResidual,SignImbalance,MaxSameSignRunFraction,FirstBreakRadiusFraction_abs0p15,CumulativeDriftRadiusPearson,RMSLogResidual_S_tau1,RMSLogResidual_HistoryRule,DeltaRMS_HistoryMinusS1,HistoryImprovement_PositiveIsBetter,MedianDeltaAbsLogResidual_HistoryMinusS1,FractionPointsImproved,RankAbsFinalMeanSignedResidual,RankMaxAbsCumulativeMeanResidual,RankSignImbalance,RankMaxSameSignRunFraction,RankHistoryImprovement,W_tau_eff_readout_score_v01,CandidateConfidenceTier,AnchorPolicy,InterpretationGuardrail
UGC00128,000128,anchor_existing_seed,frozen_original_w_tau_eff_seed,anchor_not_refit,,0.103579831,0.103579831,0.103579831,0.164505954,0.909090909,0.954545455,0.209302000,,,,,0.018659044,,,,,,,,0.463636364,medium_candidate,retained_without_refit,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
UGC00191,000191,anchor_existing_seed,frozen_original_w_tau_eff_seed,anchor_not_refit,,0.070366381,0.070366381,0.070366381,0.112198658,0.333333333,0.555555556,,,,,,0.005054232,,,,,,,,0.154545455,low_or_control_candidate,retained_without_refit,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
UGC00634,000634,predeclared_expansion_candidate,not_scored_minimum_radial_points_not_met,excluded,4,,,,,,,,,,,,,,,,,,,,,not_scored,,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
UGC00891,000891,predeclared_expansion_candidate,not_scored_minimum_radial_points_not_met,excluded,5,,,,,,,,,,,,,,,,,,,,,not_scored,,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
UGC01230,001230,predeclared_expansion_candidate,expanded_yu2022_rotmod_scoring_frozen_w_tau_eff_calibration,scored,11,0.023139335,0.023139335,0.023139335,0.396114294,0.090909091,0.545454545,0.021346470,0.438373777,0.204002590,0.213807722,0.009805132,-0.009805132,0.009643519,0.363636364,0.113636364,0.636363636,0.000000000,0.068181818,0.000000000,0.163636364,low_or_control_candidate,,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
UGC01281,001281,predeclared_expansion_candidate,expanded_yu2022_rotmod_scoring_frozen_w_tau_eff_calibration,scored,23,0.013184891,0.013184891,0.013184891,0.233241430,0.391304348,0.608695652,0.076152305,0.869451304,0.089914490,0.083983302,-0.005931188,0.005931188,0.003201422,0.347826087,0.090909091,0.409090909,0.204545455,0.136363636,0.204545455,0.209090909,low_or_control_candidate,,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
UGC02455,002455,anchor_existing_seed,frozen_original_w_tau_eff_seed,anchor_not_refit,,-0.766182963,0.766182963,0.766182963,0.954220490,1.000000000,1.000000000,0.124069000,,,,,0.122155059,,,,,,,,0.895454545,high_candidate,retained_without_refit,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
UGC02487,002487,predeclared_expansion_candidate,expanded_yu2022_rotmod_scoring_frozen_w_tau_eff_calibration,scored,17,0.206903998,0.206903998,0.206903998,0.254682207,1.000000000,1.000000000,0.123538194,-0.943510194,0.209007524,0.175046526,-0.033960998,0.033960998,-0.042237399,0.941176471,0.750000000,0.477272727,0.636363636,0.636363636,0.636363636,0.627272727,medium_candidate,,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
UGC05005,005005,predeclared_expansion_candidate,expanded_yu2022_rotmod_scoring_frozen_w_tau_eff_calibration,scored,11,-0.155047114,0.155047114,0.155047114,0.527131815,1.000000000,1.000000000,0.027263195,0.875729609,0.218222879,0.178106957,-0.040115922,0.040115922,-0.063076014,0.636363636,0.613636364,0.750000000,0.636363636,0.636363636,0.636363636,0.654545455,medium_candidate,,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
UGC05716,005716,anchor_existing_seed,frozen_original_w_tau_eff_seed,anchor_not_refit,,0.090702888,0.090702888,0.090702888,0.214401710,0.666666667,0.750000000,0.083266000,,,,,0.024604485,,,,,,,,0.377272727,low_or_control_candidate,retained_without_refit,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
UGC05721,005721,predeclared_expansion_candidate,expanded_yu2022_rotmod_scoring_frozen_w_tau_eff_calibration,scored,23,0.266742093,0.266742093,0.266742093,0.274882147,0.913043478,0.956521739,0.173590504,0.790345502,0.284722425,0.239668602,-0.045053823,0.045053823,-0.048064033,0.913043478,0.840909091,0.522727273,0.590909091,0.636363636,0.727272727,0.663636364,medium_candidate,,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
